"iter" "buildSrxn1Base.1." "degradSrxn1.1." "Vmax_buildSrxn1.1." "Km.1." "hill.1." "LnPrior" "LnData" "LnPosterior"
"269" 490268 0.0210376 0.0288261 133269 104271 1.02494 -17.22313 -1365.4 -1382.623
"270" 490269 0.0211493 0.0288261 133269 104271 1.02456 -17.221 -1366.002 -1383.223
"271" 490270 0.0211493 0.0291942 133944 104271 1.0248 -19.35512 -1363.882 -1383.237
"272" 490271 0.0211493 0.0291942 133930 104271 1.0248 -19.30702 -1363.928 -1383.235
"273" 490272 0.0211493 0.0291942 133930 104271 1.0248 -19.30702 -1363.928 -1383.235
"274" 490273 0.021186 0.0291942 133930 104271 1.02446 -19.30635 -1364.758 -1384.064
"275" 490274 0.021154 0.0293163 133609 104271 1.02446 -18.27794 -1364.533 -1382.811
"276" 490275 0.021154 0.0293163 133609 104271 1.02446 -18.27794 -1364.533 -1382.811
"277" 490276 0.021154 0.0293163 133663 104271 1.02445 -18.44571 -1364.313 -1382.759
"278" 490277 0.0213003 0.0293163 133663 104271 1.02465 -18.44312 -1366.111 -1384.554
"279" 490278 0.0213003 0.0293163 133663 104271 1.02467 -18.44312 -1366.236 -1384.679
"280" 490279 0.0213003 0.029123 133663 104271 1.02467 -18.41756 -1365.358 -1383.775
"281" 490280 0.0212435 0.0291816 133663 104271 1.02463 -18.42626 -1364.982 -1383.408
"282" 490281 0.0212435 0.0291796 133663 104271 1.02463 -18.42599 -1364.979 -1383.405
"283" 490282 0.0211325 0.02906 133663 104271 1.02463 -18.41231 -1364.368 -1382.78
