"iter"	"buildSrxn1Base.1."	"degradSrxn1.1."	"Km_NRF2_ACETYLATED_SRXN1.1."	"hill_Srxn1.1."	"Vmax_buildSrxn1.1."	"Km_Srxn1.1."	"hill_acetylated_SRXN1.1."	"r.1."	"decay.1."	"r.1.1."	"decay.1.1."	"r.1.2."	"decay.1.2."	"r.1.3."	"decay.1.3."	"r.1.4."	"decay.1.4."	"LnPrior"	"LnData"	"LnPosterior"
4995099	0.0241345	0.0163447	0.0141117	1.00309	130519	107047	9.98947	1.31786	0.0125778	9.48282	0.148487	0.65502	0.294796	1.09666	0.125087	1.19794	0.102395	-12.0119	-12890.1	-12902.11
4995100	0.0241345	0.0163403	0.0141117	1.00305	130405	107015	9.98947	0.192046	0.0125778	9.49682	0.148487	0.65502	0.294796	1.09666	0.12527	1.19794	0.102395	-12.81411	-12889.77	-12902.58
4995101	0.0241345	0.0164185	0.0141117	1.00305	130511	107034	9.98947	2.65673	0.0125778	9.49682	0.147608	0.65502	0.294796	1.11913	0.125184	1.19794	0.102395	-11.9937	-12892.14	-12904.14
4995102	0.0241345	0.0164803	0.0141117	1.003	130511	107114	9.98947	0.500047	0.0125778	9.49682	0.147247	0.65502	0.294796	1.11913	0.124383	1.19794	0.102395	-12.28202	-12892.8	-12905.08
4995103	0.0238659	0.0164803	0.0141117	1.003	130511	107114	9.98947	0.818833	0.0125778	9.49682	0.147247	0.65502	0.294796	1.09765	0.124383	1.19855	0.102161	-12.18655	-12892.12	-12904.31
4995104	0.0238659	0.0165118	0.0141117	1.003	130440	107161	9.95127	0.818833	0.0125778	9.49682	0.147247	0.656673	0.294796	1.09765	0.124383	1.19855	0.102161	-12.93194	-12892.21	-12905.14
4995105	0.0238659	0.0164978	0.0141117	1.00301	130440	107161	9.87665	2.48515	0.0125778	9.32827	0.147247	0.656106	0.294796	1.0706	0.124965	1.19855	0.102161	-12.74102	-12894.03	-12906.77
4995106	0.0238659	0.0164978	0.0141117	1.00282	130318	107161	9.96809	3.28946	0.0125778	10.2615	0.147247	0.656106	0.294796	1.08217	0.123942	1.18002	0.102161	-14.95548	-12892.05	-12907.01
4995107	0.0237147	0.0165568	0.0141117	1.00282	130445	107161	9.91799	3.921	0.0125778	7.961	0.146804	0.660178	0.294796	1.08217	0.124655	1.18002	0.102161	-12.22346	-12895.8	-12908.02
4995108	0.0237147	0.0165568	0.0141117	1.00301	130435	107167	9.98813	3.921	0.0125778	11.0671	0.147896	0.660178	0.294796	1.06766	0.125321	1.18002	0.102691	-14.87275	-12896.86	-12911.73
4995109	0.0271435	0.0165568	0.0141117	1.00304	130435	107200	9.98813	3.95489	0.0125778	7.22762	0.147896	0.633522	0.294569	1.06766	0.125321	1.19816	0.101942	-13.35288	-12900.54	-12913.89
4995110	0.0271435	0.016443	0.0141117	1.00326	130542	107067	9.98813	3.59793	0.0125778	7.22762	0.147391	0.655159	0.294569	1.07946	0.125321	1.19816	0.102051	-12.01974	-12901.11	-12913.13
4995111	0.0271435	0.016443	0.0141117	1.00325	130499	107067	9.90501	3.59793	0.0125778	7.73972	0.147391	0.655159	0.292026	1.07713	0.125321	1.19816	0.102051	-12.10687	-12903.26	-12915.37
4995112	0.0271435	0.0164454	0.0141117	1.00321	130365	107067	9.90501	2.46271	0.0873739	7.73972	0.147391	0.655159	0.292026	1.09121	0.125321	1.18056	0.102051	-12.69954	-12900.17	-12912.87
4995113	0.0240824	0.0163916	0.014303	1.00321	130365	107054	9.90501	0.95908	0.00768734	7.73972	0.147391	0.643993	0.292026	1.09121	0.125321	1.18352	0.102051	-12.02793	-12892.38	-12904.41
4995114	0.0240824	0.0163916	0.014303	1.00321	130365	107017	9.92723	0.95908	0.00768734	7.73972	0.147391	0.64819	0.292026	1.08076	0.124572	1.18352	0.102051	-12.02992	-12890.43	-12902.46
4995115	0.0240824	0.0163916	0.0142303	1.00321	130365	107098	9.92723	0.95908	0.00768734	9.28058	0.147391	0.64819	0.292026	1.08076	0.124371	1.18352	0.102485	-13.52752	-12890.09	-12903.62
4995116	0.0237786	0.0163636	0.0142303	1.00304	130365	107144	9.92723	2.63594	0.00768734	8.65195	0.148011	0.65027	0.292026	1.08335	0.124289	1.15622	0.102488	-13.06712	-12889.52	-12902.59
4995117	0.0239646	0.0163636	0.0140249	1.00331	130365	107126	9.95684	2.60961	0.00768734	9.2166	0.147544	0.65027	0.292026	1.08335	0.124289	1.18357	0.102488	-14.10763	-12889.38	-12903.49
4995118	0.0239646	0.0163838	0.0140249	1.00331	130373	107126	9.98973	2.43651	0.00768734	9.2166	0.147544	0.637918	0.292026	1.08335	0.123485	1.18357	0.102467	-13.97231	-12890.94	-12904.92
4995119	0.0239646	0.0163838	0.0140249	1.00334	130550	107138	9.98973	3.16451	0.00768734	9.2166	0.147544	0.637918	0.292026	1.08335	0.125239	1.18357	0.102467	-13.459	-12887.64	-12901.09
